srcMac,dstMac,ethType,srcIp,dstIp,ipProto,srcPort,dstPort,priority, icmpType, icmpCode
<deviceMac>,<gatewayMac>,0x0800,*,dcape-na.amazon.com,6,*,443,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.251,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,52.49.14.5,17,*,57198,810,*,*
<deviceMac>,<gatewayMac>,0x0800,*,spectrum.s3.amazonaws.com,6,*,80,855,*,*
<deviceMac>,*,0x0800,*,224.0.0.22,2,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,2.android.pool.ntp.org,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,ntp-g7g.amazon.com,17,*,123,1001,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,avs-alexa-5-eu.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,pub.dub.prod.shfss.smarthome-cameras.alexa.a2z.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,andr-785f3ec7eb-cbc62794911ff31b-6275da66d5254dff56-2400322.ec.api.amazonvideo.com,6,*,443,855,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,17,*,5353,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,det-ta-g7g.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,192.168.20.254,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.8,1,*,*,1001,8,0
<deviceMac>,<gatewayMac>,0x0800,*,s3.amazonaws.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,alexa.amazon.co.uk,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d3p8zr0ffa9t17.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,arcus-uswest.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,api.amazonalexa.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,d3h5bk8iotgjvw.cloudfront.net,6,*,80,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,dp-gw-na.amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,155.198.142.7,17,*,53,1001,*,*
<deviceMac>,*,0x86dd,*,ff00::/8,0,*,*,1300,*,*
<deviceMac>,<gatewayMac>,0x0800,*,m.media-amazon.com,6,*,443,855,*,*
<deviceMac>,<gatewayMac>,0x0800,*,mobileanalytics.us-east-1.amazonaws.com,6,*,443,855,*,*
