srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,192.168.10.254,*,17,67,*,1400,*,*,11072,32
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,17,*,67,1400,*,*,7524,22
14:91:82:b4:4b:5f,*,0x0800,*,*,239.255.255.250,2,*,*,1300,*,*,1150,25
14:91:82:b4:4b:5f,*,0x0800,*,*,239.255.255.250,17,*,1900,1300,*,*,38490,89
14:91:82:b4:4b:5f,*,0x0800,*,*,224.0.0.22,2,*,*,1300,*,*,162,3
14:91:82:b4:4b:5f,ff:ff:ff:ff:ff:ff,0x0800,*,*,255.255.255.255,17,*,67,1300,*,*,3420,10
14:91:82:b4:4b:5f,ff:ff:ff:ff:ff:ff,0x0006,*,*,*,*,*,*,1300,*,*,40,2
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,155.198.142.8,17,*,53,1001,*,*,366,5
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,4.2.2.2,1,*,*,1001,8,0,686,7
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.5.41.41,17,*,123,1001,*,*,1350,15
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,132.163.4.102,17,*,123,1001,*,*,180,2
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,155.198.142.7,17,*,53,1001,*,*,3155,42
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,3,0,252,2
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.168.10.254,1,*,*,1001,8,0,1078,11
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,192.43.244.18,17,*,123,1001,*,*,180,2
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,*,*,1,*,*,1000,*,*,2084,22
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x86dd,*,*,*,58,*,*,1000,*,*,0,0
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x86dd,*,*,*,1,*,*,1000,*,*,0,0
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,*,1,*,*,1000,*,*,322,3
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,0x0800,*,*,*,17,123,*,1000,*,*,1440,16
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,*,17,*,123,1000,*,*,270,3
22:ef:03:1a:97:b9,14:91:82:b4:4b:5f,*,*,*,*,17,53,*,1000,*,*,17525,49
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,*,*,*,*,17,*,53,1000,*,*,151,2
*,14:91:82:b4:4b:5f,0x0806,*,*,*,*,*,*,1000,*,*,12576,299
14:91:82:b4:4b:5f,*,0x0806,*,*,*,*,*,*,1000,*,*,13212,312
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,224199,182
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,403140,324
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,195378,161
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,224196,184
14:91:82:b4:4b:5f,22:ef:03:1a:97:b9,0x0800,*,*,api.xbcs.net,6,*,8443,855,*,*,224378,186
